gene	cluster
NTNG2	20
LRP2	577
GPSM2	577
FNTB	577
DSCAML1	577
CREBBP	107
UNC5A	107
TJAP1	20
SLC25A22	107
SCAMP5	107
PHLDB1	20
ZMYND11	805
UNC5C	577
SLC32A1	3969
SEMA5A	577
CDK6	577
BEGAIN	107
TCEAL2	107
TCEAL1	107
ST6GALNAC3	577
SLC35A5	631
SLC31A2	577
SLC25A13	577
RGS7	107
RAB21	631
PICALM	631
NPTN	107
NAPA	107
MTM1	631
LAMP1	631
HCFC2	631
GPR176	107
GALC	631
FRY	107
CNDP1	577
BEX1	107
ATP6V0C	107
ATG3	577
ALDH3B1	577
VSNL1	107
TTC9	107
TMEM163	107
SYT12	107
SV2B	107
SPECC1	577
SPCS2	805
SNAP91	107
SLC12A9	20
PTPN4	107
PPM1H	107
PLLP	577
MAP4K5	631
MAL2	107
LYSMD2	107
KIAA0513	107
GIPC1	20
FA2H	577
ERBB3	577
CYFIP2	107
B3GNT4	107
ADORA1	20
AATK	20
ZNF398	107
ZIC3	107
YPEL4	107
TSC22D4	577
TMEM104	20
SPEG	107
RCAN1	48
P2RX7	577
NAPB	107
MFNG	1415
IGSF11	631
GPR62	577
FBXO42	107
EVI2A	577
CX3CR1	1415
CERCAM	577
CDH5	1415
ADO	631
NLGN4X	107
KCNJ6	107
FGFR2	631
JPH3	107
CRTAM	107
SOX10	577
ZCCHC8	107
TSPYL4	107
TMEM121	20
STX1A	107
SPAG16	11
SLC25A14	107
SH3PXD2A	20
SH3GLB1	631
SEC61A2	577
ROBO4	1415
RFFL	577
REV3L	107
PUM1	107
PLXNB1	631
PLEKHO1	107
NEIL1	107
MSN	631
L3MBTL2	107
JAKMIP2	107
ITGB8	631
HS1BP3	20
HPCAL4	107
HMG20B	631
GPR17	47
DMXL2	107
DDR1	577
CORO2A	107
C10orf107	577
BZRAP1	107
BLOC1S1	20
ARHGEF1	20
ANGEL1	577
ADC	20
SLC1A6	997
PTEN	107
TSPAN7	107
TRIM32	107
ST6GALNAC6	107
SOX13	20
SLC2A5	1415
PLEKHA7	631
PHYHIP	107
PAK7	107
MAP3K11	20
GPATCH8	107
FGF1	577
FGD2	1415
DISP2	107
CNTN6	107
CNOT2	107
CAND1	1124
ATP2B1	107
WDR76	107
TFEB	20
7-Sep	631
PRR18	577
PRKCG	997
MAP4K3	107
LY86	1415
OLIG1	577
SPOCK2	107
RFTN2	631
NKX6-2	577
SPTBN2	107
ANKS1B	631
ADCY5	20
NKX2-8	577
SCARB2	577
PTK2	577
S100B	577
MAB21L1	107
NKX1-2	577
TRPM6	577
TRHDE	107
TMEM87A	631
TERF2IP	107
SRPK1	107
PSME4	631
PSMC6	107
PRR14	107
PIR	631
NUDT11	107
NAP1L2	107
MITF	577
MESDC2	577
MESDC1	107
MAPK9	107
LRRC1	631
KLK6	577
KCNS3	252
GPRC5C	107
GCLC	631
FTL	631
FAM65A	107
ENO2	107
DYSF	20
CLIP1	107
ARPC5	631
TARBP2	107
MAP3K12	107
ZNF488	577
XK	107
SYNE1	107
SLC4A10	107
RIMS2	107
RHOBTB1	577
RAPGEF1	20
PLXNB3	20
PCDHA5	107
PCDHA2	107
PCDHA12	107
NOTCH1	20
MYOT	631
LIMCH1	631
LAPTM5	1415
KLHL3	107
IRS1	107
GPR22	1124
GLCE	107
GAP43	107
GAB2	577
FSTL5	107
FCHO1	20
FBXW7	107
CTTNBP2	577
ATP2B2	107
ASPA	577
ANKRD40	577
A2M	1415
TTLL9	14091
TRIM33	107
TMEFF2	45
SOX8	577
SLC12A5	107
MXD4	107
IPO7	805
ENOPH1	631
ECE2	107
DIAPH1	107
MYCN	577
TRERF1	107
SLCO2B1	1415
NFE2L2	631
DTX3	107
DAAM2	577
CCNJL	107
CADM3	107
C3AR1	1415
ATP1A1	107
MAFK	20
TCF12	631
SALL1	577
PCYT1B	577
PAQR8	577
MDGA1	107
INPPL1	631
BOK	20
ARHGEF10L	107
VWA1	577
UBTD2	107
UBL3	631
TXNDC11	107
TUSC3	107
TUBA1A	20
TTYH3	107
TSPAN3	805
TPPP3	577
TOR2A	107
TMEM141	20
TESK2	577
TBC1D13	20
STIM1	107
SPTBN4	107
SPATA13	577
SOX15	107
SNRPN	107
SMC1A	107
SLC8A2	107
SLC25A20	631
SLC25A12	1610
SGK3	577
SERPINI1	577
SERPINB6	631
3-Sep	107
SEC14L5	577
SCAMP4	20
RUSC1	107
RIMS3	107
RHOG	20
REV1	107
RASAL1	577
RALGPS1	107
RAF1	107
PUF60	20
PPP2R5B	107
PPIE	20
PPARA	631
PI4KA	107
PELI3	107
PDCD10	631
PCLO	107
PCDHAC2	107
PAPSS1	577
MBTPS1	107
MAST3	577
MAPK6	1124
MAP4	577
LSM11	107
LRP10	631
LAMP2	577
KIF2A	631
HDAC3	107
HCN3	107
GPRASP1	107
GOLGA7	631
GDF1	20
GCSH	631
FYB	1415
FXYD5	1415
FAM107B	577
DDAH2	631
DACT3	20
CUL3	107
CTNS	20
CPEB2	631
CNDP2	20
CDC42EP2	20
CDC25B	107
CD63	631
CCDC120	107
CARHSP1	631
C3orf14	107
BMP7	20
BEX5	1610
ATP2A2	107
ARRDC2	577
ARMC8	107
APLP2	107
AP3D1	107
AP3B2	107
ADAM11	107
ACAA2	631
ABHD8	107
ABCC10	107
TP53I13	631
TNS1	631
SGCD	631
RNASE1	577
PPP1R13B	107
MYEF2	107
KIAA0247	107
GNG13	997
FAM69B	107
DAAM1	107
CLEC14A	1415
CAMTA2	107
CACNA1G	997
AP1G2	107
ITGB2	1415
SGK2	577
RFX1	107
PKIB	107
PAQR6	577
HLA-DRA	1415
GNB4	631
CAPZA2	107
C8orf46	577
IRF9	631
DDX1	107
CACNG2	107
IKZF1	1415
TACC1	631
RTN1	107
MBOAT2	631
KIF6	577
ISOC1	577
DYNC1I2	577
DNAJC5	107
CBFB	631
ARID5B	631
HSF4	107
LHFPL2	1415
CPOX	577
CLDND1	577
TIAM1	107
SLC26A9	577
OMG	631
FGF9	107
CBLN1	107
C10orf90	577
ANK2	107
WSCD2	107
TMEM151B	107
PISD	107
NINJ2	577
ITPKB	631
GRIA2	1124
CCNG2	107
ZNF521	107
TMEM140	577
SYN3	20
SLCO1A2	577
SEPP1	577
RALYL	107
PPP3CA	107
MBNL2	631
KCND2	107
ITFG3	20
GPRC5B	577
GPR37	577
FOXO1	631
CNTN2	577
BIVM	107
ATP10B	577
ALDH6A1	631
FOXJ3	107
ZIC1	107
VRK2	577
TSPYL1	107
TGFB3	577
SVOP	107
SMAD1	107
SLC39A11	631
RHBDL2	577
REEP3	631
PLS3	577
PLEKHB1	577
PLCXD3	107
PDE1A	1124
PCSK6	577
PCDHA11	107
PCDH9	577
OTUD7B	577
NRN1	107
NKX2-2	577
MYO6	631
LGI1	107
LCP2	1415
KIAA2022	107
ING3	107
GRIK1	997
FOXN3	107
FGF14	107
FEZ1	577
EFHD1	577
CRYAB	631
CHGB	107
CDH18	107
CDH10	107
AMPH	107
FOXC1	1415
ZNF671	107
ZNF599	107
ZIC2	107
VWC2	107
TTC9B	107
TAGLN3	107
SYT4	107
STXBP5L	107
SSRP1	107
SNAP25	107
SLITRK3	107
SLC6A17	107
SEMA4D	577
RPS6KA2	577
RIT2	107
RGS3	577
RELN	107
PVALB	3969
PTPRR	107
PRRT2	107
PRKCSH	20
POLR2G	20
PACSIN1	107
OPCML	107
OLIG2	577
NRXN3	107
NRK	997
NMNAT2	107
NEUROD2	107
NCSTN	20
MYO1E	577
MOG	577
MAG	577
LRRC3B	107
LHX1	107
LECT1	577
KCNJ10	577
KCNH8	577
KCND1	107
IGSF21	107
HHATL	577
GRM3	577
GRIK2	107
GPM6B	631
GJC2	577
GJB1	577
GALK2	631
GAL3ST1	577
FOLH1	577
FCGR2A	1415
FAM126B	107
FAM102A	20
ENPP6	577
ELOVL7	631
DPYSL5	20
CXorf36	577
CORO7	20
CMTM5	577
