source	target	weight
BBX	CREB5	1
BBX	DIRAS2	1
BBX	KCNJ3	1
BBX	NDE1	1
BBX	P2RY13	1
BBX	SCN2A	1
BBX	SYT1	1
BRCA1	GABRA6	1
BRCA1	TLE2	1
CEBPB	ADAM28	1
CEBPB	ADORA3	1
CEBPB	ATP6V1B2	1
CEBPB	CA10	1
CEBPB	CACNB2	1
CEBPB	CNTN1	1
CEBPB	IL16	1
CEBPB	MREG	1
CEBPB	PDGFRA	1
CEBPB	SMARCA2	1
CEBPB	STMN2	1
CEBPD	ADORA3	1
CEBPD	BEST1	1
CEBPD	DAB1	1
CEBPD	GPR137C	1
CEBPD	GRM1	1
CEBPD	PDGFRA	1
CEBPD	STMN2	1
CREB3L2	BET1	1
CREB3L2	CNTN1	1
CREB3L2	GAD2	1
CREB3L2	GRIN2C	1
CREB3L2	HOXD1	1
CREB3L2	KCNK1	1
CREB3L2	MAP7	1
CREB3L2	MAPRE2	1
CREB3L2	RAPGEF3	1
CREB3L2	SLC22A17	1
CREB3L2	SPRYD3	1
CREB3L2	TM9SF3	1
CREB3L2	TSPAN13	1
CREB3L2	ZZZ3	1
CREB5	ACTR3B	1
CREB5	ALS2	1
CREB5	AMOTL2	1
CREB5	ATP5I	1
CREB5	CD74	1
CREB5	CDS1	1
CREB5	CEP57	1
CREB5	CLCN3	1
CREB5	CREB5	1
CREB5	CRTC3	1
CREB5	CSNK1G3	1
CREB5	CXCL16	1
CREB5	CYB5D2	1
CREB5	DUSP26	1
CREB5	ELOVL5	1
CREB5	FAM131A	1
CREB5	FAM53C	1
CREB5	FOXO3	1
CREB5	GPR137C	1
CREB5	GRIN2C	1
CREB5	HPS5	1
CREB5	INPP5A	1
CREB5	JAM3	1
CREB5	JARID2	1
CREB5	LGR5	1
CREB5	MOAP1	1
CREB5	MRGPRF	1
CREB5	NACAD	1
CREB5	NAT14	1
CREB5	PAK1	1
CREB5	PAK6	1
CREB5	PAX6	1
CREB5	PDXP	1
CREB5	PEX11G	1
CREB5	PLEKHG1	1
CREB5	POLB	1
CREB5	PPFIA3	1
CREB5	PPP2R2A	1
CREB5	PRKCZ	1
CREB5	RAB1A	1
CREB5	RUNDC3A	1
CREB5	SCHIP1	1
CREB5	STXBP3	1
CREB5	TACC2	1
CREB5	TLE2	1
CREB5	TMEM59L	1
CREB5	TMTC4	1
CREB5	TP53INP2	1
CREB5	YWHAH	1
CREB5	ZNF335	1
DMRT2	BACE1	1
ELF1	ABTB1	1
ELF1	ADIPOR2	1
ELF1	AFTPH	1
ELF1	ALAD	1
ELF1	ALOX5AP	1
ELF1	ANKIB1	1
ELF1	APBB1IP	1
ELF1	ARHGAP15	1
ELF1	ARHGEF9	1
ELF1	ARRB2	1
ELF1	ATG4C	1
ELF1	ATP5A1	1
ELF1	C1QA	1
ELF1	CAP1	1
ELF1	CD37	1
ELF1	CDC14B	1
ELF1	CHERP	1
ELF1	CLCN3	1
ELF1	CPLX2	1
ELF1	CSF1R	1
ELF1	CYB561D2	1
ELF1	DAB2IP	1
ELF1	DUSP22	1
ELF1	ECHDC1	1
ELF1	ELOVL6	1
ELF1	EVI2B	1
ELF1	EXOC5	1
ELF1	FAM3A	1
ELF1	FAM53B	1
ELF1	FIS1	1
ELF1	FNTA	1
ELF1	GABRG2	1
ELF1	GIMAP6	1
ELF1	GPM6A	1
ELF1	GRPEL2	1
ELF1	IFIT2	1
ELF1	IMPACT	1
ELF1	INPP5D	1
ELF1	JMJD1C	1
ELF1	KCNK1	1
ELF1	KCTD4	1
ELF1	KIAA1598	1
ELF1	KLF12	1
ELF1	KLHL2	1
ELF1	KLHL32	1
ELF1	LIPA	1
ELF1	LMTK3	1
ELF1	LYST	1
ELF1	MADD	1
ELF1	MAPRE2	1
ELF1	MICAL2	1
ELF1	MS4A7	1
ELF1	MTMR4	1
ELF1	MYO9B	1
ELF1	MYT1	1
ELF1	NBEA	1
ELF1	NFS1	1
ELF1	NUDT21	1
ELF1	PAAF1	1
ELF1	PAIP2	1
ELF1	PCDHA13	1
ELF1	PCDHA4	1
ELF1	PIK3CG	1
ELF1	POLR2F	1
ELF1	PSMD14	1
ELF1	PTK2B	1
ELF1	RAB2A	1
ELF1	RAB37	1
ELF1	RAC1	1
ELF1	RASGRP3	1
ELF1	RERE	1
ELF1	RNF13	1
ELF1	RNF43	1
ELF1	RUNX1T1	1
ELF1	SLC22A15	1
ELF1	SMS	1
ELF1	SPTLC2	1
ELF1	SUPT16H	1
ELF1	TCF4	1
ELF1	TLR1	1
ELF1	TMEM63A	1
ELF1	TRAPPC6A	1
ELF1	UBE2N	1
ELF1	UBE2V2	1
ELF1	USP54	1
ELF1	WDFY2	1
ELF1	ZBTB47	1
ELF1	ZEB2	1
ELF1	ZFYVE16	1
ELF1	ZKSCAN1	1
ETV1	ADPRHL2	1
ETV1	AKAP12	1
ETV1	CAP1	1
ETV1	CHERP	1
ETV1	CUL4B	1
ETV1	CXADR	1
ETV1	EDC4	1
ETV1	EXOC5	1
ETV1	FIS1	1
ETV1	GRPEL2	1
ETV1	HPS5	1
ETV1	JPH4	1
ETV1	KCTD2	1
ETV1	KRR1	1
ETV1	LIPA	1
ETV1	LZIC	1
ETV1	MAGEF1	1
ETV1	MAPRE3	1
ETV1	MARK3	1
ETV1	MRPL51	1
ETV1	MTMR4	1
ETV1	NCAPD2	1
ETV1	NEUROD1	1
ETV1	NUDT21	1
ETV1	PACS2	1
ETV1	PLOD3	1
ETV1	POMGNT1	1
ETV1	PREPL	1
ETV1	PSMC2	1
ETV1	PTK2B	1
ETV1	RPE	1
